,kepid,koi_slogg,koi_steff,koi_srad,koi_kepmag,koi_duration,koi_depth,koi_prad
1562,10187159,4.44,5185.0,0.91,14.425,1.5342,746.0,2.44
1564,10619192,4.4319999999999995,5624.0,1.018,14.140999999999998,2.2874,20824.0,14.48
1566,4939346,4.445,6194.0,1.069,15.674000000000001,8.813,2138.0,4.94
1569,10190777,4.564,4575.0,0.737,13.59,1.4325,388.2,1.71
1570,9651234,4.559,5162.0,0.791,14.030999999999999,6.065,862.8,2.37
1571,7045496,4.615,5395.0,0.734,15.164000000000001,2.5995,729.6,1.96
1572,8750043,4.482,5637.0,0.909,13.09,1.654,172.1,1.18
1573,9973109,4.401,5657.0,0.911,14.55,4.858,483.3,2.11
1574,6226290,4.529,5853.0,0.895,15.624,4.1847,889.4,2.66
1575,9595827,4.54,5543.0,0.887,15.127,2.8213,21340.0,12.78
1576,9349482,4.695,4441.0,0.546,15.498,12.831,1283.2,2.11
1578,4644952,4.4910000000000005,5527.0,0.88,13.828,1.8899,825.0,2.96
